"полиэстер, микрофлис",флис
"полиэстер, микрофлис, нейлон",флис
"полиэстер, микрофлис, эластан",флис
"полиэстер, нейлон",полиэстер
"полиэстер, нейлон, микрофлис",флис
"полиэстер, нейлон, тафта, твил",полиэстер
"полиэстер, ПВХ, АБС пластик",полиэстер
"полиэстер, плотность 135 г/м2",полиэстер
"полиэстер, плотность 135 г/м²",полиэстер
"полиэстер, поплин",полиэстер
"полиэстер, поплин, хлопок",хлопок/полиэстер
"полиэстер, сатин",полиэстер
"полиэстер, синтепон, нейлон",полиэстер
"полиэстер, таслан",полиэстер
"полиэстер, таслан, тафта",полиэстер
"полиэстер, тафта, таслан",полиэстер
"полиэстер, твил, нейлон, тафта",полиэстер
"полиэстер, твил, тафта, нейлон",полиэстер
"полиэстер, фетр",полиэстер
"полиэстер, флис",флис
